delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours
2021-07-01,4893,608,142,177,139,424,305,756
2021-07-02,6555,754,189,200,174,720,249,890
2021-07-03,6096,750,152,169,141,720,288,913
2021-07-04,5745,589,165,190,190,688,268,934
2021-07-05,5157,689,147,174,151,479,282,712
2021-07-06,5115,663,138,168,131,450,232,721
2021-07-07,5113,569,154,147,132,476,299,772
2021-07-08,4926,685,120,167,168,466,249,779
2021-07-09,6063,608,147,197,151,720,271,806
2021-07-10,5306,555,165,190,155,709,331,868
2021-07-11,5003,791,174,199,175,483,364,840
2021-07-12,5262,532,134,195,136,609,256,756
2021-07-13,5477,633,124,154,148,647,184,735
2021-07-14,4796,624,129,157,130,465,279,755
2021-07-15,4863,660,136,147,127,401,200,766
2021-07-16,6005,636,168,189,166,720,225,830
2021-07-17,5760,820,141,199,178,720,305,849
2021-07-18,5708,634,139,210,147,720,228,825
2021-07-19,4939,599,150,176,144,476,310,723
2021-07-20,4981,729,161,142,136,556,267,767
2021-07-21,4924,623,149,163,139,462,219,779
2021-07-22,6020,526,149,154,148,720,277,801
2021-07-23,5817,827,139,222,166,720,235,845
2021-07-24,5801,746,171,213,136,720,284,867
2021-07-25,5235,783,138,205,140,626,279,915
2021-07-26,4937,601,140,191,148,438,237,705
2021-07-27,5136,527,155,170,173,455,242,823
2021-07-28,5417,601,148,168,144,563,243,704
2021-07-29,5047,682,143,139,154,516,217,750
2021-07-30,5225,676,161,215,152,658,262,883
2021-07-31,5701,809,161,165,142,720,233,888
2021-08-01,5587,900,147,197,145,698,289,793
2021-08-02,5083,783,140,173,154,495,223,680
2021-08-03,5224,642,133,170,132,515,271,713
2021-08-04,5367,552,138,203,156,596,209,741
2021-08-05,5026,653,145,167,137,401,226,792
2021-08-06,5271,734,158,195,156,720,304,828
2021-08-07,5985,693,161,199,154,720,252,852
2021-08-08,5520,708,181,205,185,720,242,876
2021-08-09,4588,596,138,149,125,348,198,789
2021-08-10,4679,847,140,169,122,486,291,770
2021-08-11,4529,665,132,194,151,344,149,726
2021-08-12,5241,735,159,139,144,613,180,760
2021-08-13,5846,726,145,187,156,720,261,858
2021-08-14,5736,778,164,186,162,658,302,874
2021-08-15,5764,815,144,158,165,720,290,858
2021-08-16,5233,715,151,163,110,596,295,783
2021-08-17,4692,697,156,196,128,374,276,762
2021-08-18,4609,679,153,170,143,347,306,728
2021-08-19,4794,651,156,141,122,320,248,721
2021-08-20,5615,794,160,197,157,720,302,850
2021-08-21,5691,821,172,168,170,694,340,910
2021-08-22,5851,759,165,205,156,720,318,854
2021-08-23,4784,566,133,135,150,524,303,703
2021-08-24,5254,750,140,170,112,572,204,767
2021-08-25,4454,688,158,154,124,320,236,740
2021-08-26,4457,682,140,149,132,381,271,755
2021-08-27,5967,666,168,196,154,720,252,892
2021-08-28,5943,543,182,138,152,720,271,823
2021-08-29,5367,819,144,214,160,591,260,838
2021-08-30,5303,701,125,161,128,649,192,816
2021-08-31,4988,569,137,154,122,482,197,684
2021-09-01,5367,524,121,134,128,720,222,769
2021-09-02,4878,604,133,132,153,419,209,739
2021-09-03,6383,703,146,168,151,720,263,871
2021-09-04,6174,803,147,167,162,720,199,901
2021-09-05,5662,763,168,181,163,720,254,865
2021-09-06,5225,630,132,136,129,514,236,779
2021-09-07,5581,718,131,157,144,697,199,837
2021-09-08,5342,603,135,155,120,698,216,721
2021-09-09,5916,694,115,182,149,720,284,766
2021-09-10,6315,701,156,181,161,720,258,872
2021-09-11,5858,644,156,126,164,720,305,857
2021-09-12,6556,720,151,186,155,720,213,884
2021-09-13,5823,696,153,136,121,715,246,777
2021-09-14,5536,571,139,128,156,720,235,780
2021-09-15,5327,523,123,130,120,720,231,773
2021-09-16,5392,638,142,149,147,634,206,711
2021-09-17,5633,729,150,149,161,720,167,842
2021-09-18,6468,775,136,175,175,720,249,858
2021-09-19,6105,780,152,184,163,720,257,901
2021-09-20,5805,594,108,178,144,667,191,787
2021-09-21,5402,614,147,131,129,661,236,777
2021-09-22,5819,664,136,145,141,720,229,787
2021-09-23,5694,653,120,151,140,720,308,742
2021-09-24,6473,822,151,215,156,720,221,862
2021-09-25,6412,807,153,195,160,720,361,888
2021-09-26,6073,699,138,189,156,720,250,900
2021-09-27,5204,575,133,161,145,541,247,734
2021-09-28,5317,584,146,161,148,698,333,700
2021-09-29,5242,607,120,131,136,528,233,762
2021-09-30,5668,686,137,143,170,720,146,725
2021-10-01,5716,749,148,164,189,720,282,841
2021-10-02,5975,750,152,139,158,720,244,846
2021-10-03,6136,735,151,183,176,720,235,889
2021-10-04,5714,620,139,168,158,720,185,760
2021-10-05,5504,643,122,123,141,633,223,732
2021-10-06,5115,666,132,160,171,579,239,722
2021-10-07,5050,761,119,131,139,538,184,749
2021-10-08,6755,691,133,189,168,720,190,848
2021-10-09,6306,829,137,171,170,720,294,833
2021-10-10,6441,765,163,182,128,720,259,867
2021-10-11,5667,705,137,146,114,701,237,722
2021-10-12,5721,714,132,95,122,720,198,691
2021-10-13,5932,651,143,155,146,720,248,840
2021-10-14,5840,539,135,171,157,720,267,792
2021-10-15,7000,695,143,167,154,720,142,859
2021-10-16,6454,713,173,173,179,720,286,884
2021-10-17,6804,751,155,179,157,720,342,865
2021-10-18,5647,738,144,150,107,720,131,811
2021-10-19,5559,720,119,122,144,694,200,763
2021-10-20,6469,708,143,165,161,720,138,753
2021-10-21,5784,582,128,138,161,720,246,782
2021-10-22,6312,761,135,133,163,720,301,929
2021-10-23,6874,678,145,181,196,720,298,860
2021-10-24,6016,803,136,168,159,720,239,789
2021-10-25,5677,601,131,148,136,720,159,742
2021-10-26,5739,607,111,162,156,720,142,785
2021-10-27,4919,672,119,129,134,493,194,781
2021-10-28,5344,719,133,137,128,532,232,748
2021-10-29,5495,710,139,201,137,669,297,921
2021-10-30,6064,703,157,131,135,720,315,859
2021-10-31,6360,827,175,162,161,720,192,910
2021-11-01,5144,657,127,133,126,588,260,755
2021-11-02,5525,690,118,163,151,720,205,744
2021-11-03,5769,707,124,143,148,709,204,763
2021-11-04,5849,608,108,116,122,704,214,718
2021-11-05,6079,693,144,196,170,720,235,859
2021-11-06,6440,788,139,173,133,720,283,864
2021-11-07,6961,686,152,172,160,720,257,904
2021-11-08,5982,650,140,137,151,720,264,837
2021-11-09,5457,497,123,172,148,680,260,777
2021-11-10,5926,714,148,156,153,720,196,820
2021-11-11,5576,706,131,139,140,720,242,700
2021-11-12,6250,872,147,140,188,720,250,861
2021-11-13,6704,710,163,182,164,720,246,911
2021-11-14,6022,634,157,184,168,720,240,902
2021-11-15,5484,616,126,186,116,703,153,756
2021-11-16,5348,504,135,143,111,683,277,812
2021-11-17,5626,653,146,180,156,659,228,775
2021-11-18,4867,683,157,162,161,499,217,773
2021-11-19,6039,680,165,197,147,720,250,886
2021-11-20,6486,817,150,198,165,720,220,950
2021-11-21,6489,797,130,158,178,720,176,910
2021-11-22,5310,749,129,154,157,567,180,753
2021-11-23,5790,557,110,165,132,720,146,736
2021-11-24,5497,715,121,180,130,636,281,767
2021-11-25,5307,639,146,176,129,618,224,725
2021-11-26,6306,748,163,194,156,720,280,854
2021-11-27,6531,741,138,155,181,720,319,856
2021-11-28,6427,900,137,138,179,720,252,853
2021-11-29,5594,583,128,158,126,664,206,710
2021-11-30,5352,658,125,145,140,594,248,810
2021-12-01,5337,716,134,164,169,660,160,814
2021-12-02,5932,667,148,145,126,720,161,790
2021-12-03,6775,651,142,163,168,720,322,951
2021-12-04,6498,795,162,166,181,720,299,959
2021-12-05,6399,773,162,130,173,720,264,942
2021-12-06,5474,603,135,159,149,680,273,760
2021-12-07,5561,773,116,161,139,674,195,792
2021-12-08,6144,594,122,134,171,720,230,784
2021-12-09,5169,666,166,183,135,618,198,736
2021-12-10,6682,866,170,173,167,720,281,904
2021-12-11,5758,793,170,160,178,720,296,948
2021-12-12,6082,672,151,197,161,720,193,979
2021-12-13,5789,736,148,168,144,720,214,890
2021-12-14,5695,650,142,139,168,697,251,835
2021-12-15,5635,689,137,156,139,692,290,794
2021-12-16,5225,646,150,170,155,580,254,775
2021-12-17,6234,853,167,163,157,720,335,851
2021-12-18,6422,689,149,175,163,720,266,899
2021-12-19,5813,839,166,196,147,720,293,882
2021-12-20,5503,674,159,192,124,720,194,832
2021-12-21,5840,613,142,156,155,720,279,801
2021-12-22,5441,759,143,171,138,598,208,776
2021-12-23,5775,751,135,183,166,720,198,853
2021-12-24,6304,794,153,165,148,720,234,980
2021-12-25,5945,697,163,209,170,720,192,894
2021-12-26,5949,652,158,141,151,720,232,932
2021-12-27,5607,745,146,178,147,720,251,803
2021-12-28,5361,659,127,165,146,597,205,756
2021-12-29,5843,688,126,172,139,697,272,779
2021-12-30,5357,685,150,158,130,668,212,864
2021-12-31,7000,628,161,216,191,720,265,950
2022-01-01,7000,763,134,161,152,720,323,884
2022-01-02,5852,726,141,188,177,720,223,778
2022-01-03,4882,750,125,136,163,569,221,750
2022-01-04,5454,666,149,158,150,720,173,786
2022-01-05,5397,480,104,132,147,654,227,828
2022-01-06,5056,648,134,137,140,449,276,736
2022-01-07,7000,745,162,172,161,720,258,885
2022-01-08,6051,739,142,214,160,720,245,883
2022-01-09,5863,716,152,201,164,720,279,931
2022-01-10,5479,817,124,136,123,720,253,748
2022-01-11,5937,698,154,122,136,720,141,797
2022-01-12,5405,702,158,144,134,657,259,740
2022-01-13,5279,724,135,113,123,702,236,733
2022-01-14,6265,748,158,148,149,720,249,894
2022-01-15,5895,772,163,181,163,720,220,871
2022-01-16,6766,739,139,164,164,720,272,892
2022-01-17,5811,750,142,133,127,720,202,720
2022-01-18,5345,617,122,144,156,643,319,766
2022-01-19,5398,650,133,158,169,597,254,767
2022-01-20,4950,704,145,135,140,409,170,797
2022-01-21,6162,670,152,163,154,720,207,842
2022-01-22,6379,815,164,161,174,720,326,834
2022-01-23,6790,702,174,183,147,720,284,911
2022-01-24,5475,653,139,152,122,622,229,803
2022-01-25,6066,705,133,163,131,720,187,716
2022-01-26,5617,663,138,160,143,720,218,774
2022-01-27,5246,676,138,138,141,564,199,721
2022-01-28,6768,822,156,208,158,720,244,883
2022-01-29,6186,774,160,170,186,720,264,842
2022-01-30,6471,738,142,159,198,720,195,850
2022-01-31,5482,688,137,162,131,693,185,738
2022-02-01,5179,567,143,162,154,584,251,698
2022-02-02,5802,662,138,157,126,679,192,780
2022-02-03,5742,554,118,137,135,669,163,731
2022-02-04,6355,665,148,192,143,720,294,859
2022-02-05,6124,829,146,192,167,720,272,885
2022-02-06,6682,709,150,171,171,720,294,890
2022-02-07,5039,735,157,168,160,545,154,695
2022-02-08,5589,609,119,149,149,618,202,813
2022-02-09,5124,711,124,160,155,610,256,720
2022-02-10,5890,590,133,155,147,720,186,713
2022-02-11,6630,761,163,172,141,720,238,886
2022-02-12,6098,863,139,166,163,720,266,930
2022-02-13,7000,775,117,172,157,720,296,863
2022-02-14,5438,624,107,130,153,533,189,746
2022-02-15,6110,704,123,173,130,720,166,798
2022-02-16,5358,578,127,155,133,669,197,782
2022-02-17,5655,646,125,153,148,720,258,794
2022-02-18,7000,784,155,185,147,720,233,897
2022-02-19,6264,757,163,188,159,720,298,901
2022-02-20,5763,726,151,187,174,720,276,876
2022-02-21,5264,632,130,149,114,583,222,750
2022-02-22,5414,684,117,121,135,698,288,787
2022-02-23,4986,634,133,153,148,469,223,775
2022-02-24,5789,594,126,101,131,720,179,766
2022-02-25,6305,589,152,156,168,720,254,864
2022-02-26,6431,756,146,145,140,720,253,853
2022-02-27,6544,728,138,167,164,720,328,851
2022-02-28,5474,680,130,141,118,640,177,700
2022-03-01,4722,577,137,161,127,381,146,743
2022-03-02,5140,708,121,169,119,447,248,818
2022-03-03,5173,647,104,114,142,510,176,762
2022-03-04,5790,814,151,195,161,720,296,840
2022-03-05,6735,774,154,182,187,720,189,923
2022-03-06,5631,755,134,182,152,720,242,941
2022-03-07,5694,653,131,143,155,668,203,794
2022-03-08,4812,647,111,163,167,467,278,730
2022-03-09,5083,584,127,164,141,420,167,712
2022-03-10,5172,794,146,116,160,588,158,749
2022-03-11,6133,786,134,183,131,720,299,875
2022-03-12,5575,810,161,196,173,720,282,883
2022-03-13,5781,731,135,155,157,720,311,873
2022-03-14,5351,726,127,161,137,665,245,718
2022-03-15,5057,765,128,158,148,435,240,711
2022-03-16,4781,725,134,145,146,411,221,783
2022-03-17,4745,653,126,121,127,498,235,714
2022-03-18,5211,740,168,169,179,636,272,827
2022-03-19,6078,724,160,158,163,720,247,888
2022-03-20,5657,702,169,191,150,720,223,833
2022-03-21,5362,531,141,145,137,613,243,731
2022-03-22,5251,658,115,147,159,656,249,718
2022-03-23,5172,710,139,164,145,527,196,694
2022-03-24,5119,663,137,126,149,639,223,758
2022-03-25,5858,890,137,176,150,720,251,921
2022-03-26,6380,779,145,217,155,720,182,923
2022-03-27,6089,900,133,199,162,720,187,925
2022-03-28,5275,647,138,136,132,535,146,790
2022-03-29,5417,601,134,145,145,567,185,797
2022-03-30,4978,792,131,133,157,511,249,802
2022-03-31,4772,641,128,127,136,492,229,713
2022-04-01,5205,864,148,161,157,525,310,860
2022-04-02,6229,751,167,177,173,720,278,886
2022-04-03,5669,882,139,173,161,720,236,885
2022-04-04,4941,539,130,130,116,471,240,778
2022-04-05,5199,515,114,186,125,576,193,763
2022-04-06,4778,689,132,142,125,429,171,775
2022-04-07,5919,745,139,148,113,676,271,732
2022-04-08,5505,736,137,150,160,650,223,847
2022-04-09,5933,731,147,183,159,720,272,897
2022-04-10,5699,753,140,157,172,720,271,884
2022-04-11,5016,699,141,166,139,568,229,782
2022-04-12,5099,667,121,163,180,487,223,744
2022-04-13,4829,758,122,141,118,383,152,782
2022-04-14,5980,624,110,166,130,720,209,738
2022-04-15,5688,801,147,164,158,682,269,811
2022-04-16,5595,801,153,183,160,720,290,890
2022-04-17,6075,800,144,148,167,720,297,841
2022-04-18,4683,682,129,116,145,320,182,807
2022-04-19,5639,565,126,151,165,642,201,814
2022-04-20,4869,701,112,147,117,377,254,758
2022-04-21,4888,598,127,155,154,320,187,766
2022-04-22,5715,776,153,167,154,720,299,848
2022-04-23,5728,760,168,167,174,720,250,867
2022-04-24,5635,730,160,177,164,675,214,949
2022-04-25,4938,596,147,155,148,453,207,754
2022-04-26,4516,644,134,183,141,320,216,856
2022-04-27,5303,593,137,137,121,550,224,694
2022-04-28,4598,651,125,157,123,402,173,817
2022-04-29,5149,671,155,202,165,630,254,838
2022-04-30,5578,663,134,180,145,720,201,884
2022-05-01,5579,846,153,195,150,720,214,860
2022-05-02,4908,599,115,125,107,389,245,704
2022-05-03,4521,775,122,156,149,376,159,752
2022-05-04,4434,821,111,131,125,320,274,845
2022-05-05,4833,558,103,146,136,391,229,774
2022-05-06,5863,725,136,184,161,720,285,824
2022-05-07,5248,695,137,186,166,692,269,881
2022-05-08,6170,780,150,199,163,720,219,899
2022-05-09,5433,646,146,115,139,607,191,843
2022-05-10,4977,621,130,114,129,532,195,731
2022-05-11,5458,744,136,142,137,569,180,723
2022-05-12,4784,578,111,154,143,517,193,770
2022-05-13,5859,730,158,186,166,720,239,826
2022-05-14,5468,704,136,180,178,638,264,838
2022-05-15,5643,699,157,160,175,720,227,830
2022-05-16,5089,713,133,190,160,488,207,776
2022-05-17,4707,732,134,155,150,495,227,756
2022-05-18,5528,718,126,150,143,660,166,706
2022-05-19,4689,582,122,161,138,398,171,744
2022-05-20,5956,789,141,175,192,720,225,868
2022-05-21,5782,737,149,147,148,720,246,854
2022-05-22,5688,752,160,171,167,720,276,887
2022-05-23,5303,700,137,148,143,635,194,738
2022-05-24,5064,679,120,149,139,366,211,754
2022-05-25,4944,749,115,135,103,434,204,742
2022-05-26,5388,710,131,143,154,595,187,700
2022-05-27,5596,800,177,174,150,660,275,812
2022-05-28,5943,805,155,169,169,720,222,939
2022-05-29,5627,802,120,195,182,720,275,894
2022-05-30,4775,688,120,139,156,471,192,734
2022-05-31,4774,701,118,156,150,407,260,749
2022-06-01,4925,582,158,154,145,453,204,739
2022-06-02,5484,664,133,173,138,720,258,747
2022-06-03,6247,619,169,229,159,720,268,925
2022-06-04,5882,689,159,183,166,720,325,890
2022-06-05,5284,655,174,169,158,655,238,838
2022-06-06,4967,685,158,179,141,425,204,742
2022-06-07,5143,674,120,154,157,528,190,842
2022-06-08,4990,677,150,161,130,604,287,789
2022-06-09,5202,580,161,153,144,442,165,771
2022-06-10,5467,608,174,230,180,677,284,905
2022-06-11,6143,723,168,199,169,720,279,922
2022-06-12,6173,781,188,186,184,720,380,832
2022-06-13,4759,679,150,203,131,462,293,785
2022-06-14,4664,749,160,179,143,393,243,782
2022-06-15,5011,591,133,154,143,482,255,778
2022-06-16,4780,753,142,160,147,320,215,794
2022-06-17,5142,826,186,187,165,662,265,904
2022-06-18,5515,714,158,199,177,695,233,836
2022-06-19,5888,877,172,186,172,720,268,840
2022-06-20,5493,480,155,160,134,720,218,736
2022-06-21,4954,679,140,140,128,543,249,776
2022-06-22,4909,604,166,165,134,518,218,739
2022-06-23,5004,650,149,206,145,339,259,761
2022-06-24,5765,765,167,192,170,720,245,980
2022-06-25,5499,755,149,195,148,675,325,891
2022-06-26,5949,624,189,172,182,720,306,844
2022-06-27,5053,617,146,164,111,563,243,743
2022-06-28,4804,675,135,127,146,452,238,720
2022-06-29,5031,547,133,154,152,468,228,828
2022-06-30,5123,674,141,157,109,575,264,754
2022-07-01,5702,799,149,183,145,720,318,797
2022-07-02,5220,738,162,169,188,637,302,850
2022-07-03,6003,721,164,204,138,720,291,919
2022-07-04,4624,585,132,173,141,339,206,716
2022-07-05,4983,617,137,196,139,551,225,769
2022-07-06,4981,531,163,166,150,429,240,730
2022-07-07,5433,672,150,192,156,656,190,736
2022-07-08,5399,798,169,168,158,582,281,816
2022-07-09,5935,774,190,208,155,720,227,840
2022-07-10,5867,596,167,175,162,720,300,875
2022-07-11,5490,650,136,164,121,651,270,846
2022-07-12,4782,631,139,172,145,411,290,738
2022-07-13,5345,688,145,162,174,534,258,734
2022-07-14,5625,712,137,177,144,637,277,774
2022-07-15,5825,745,173,197,162,720,351,837
2022-07-16,5900,725,189,177,151,720,296,826
2022-07-17,5583,597,170,184,140,720,231,902
2022-07-18,4755,762,155,150,127,443,236,754
2022-07-19,5445,598,147,185,151,604,235,699
2022-07-20,4630,672,144,169,155,320,237,767
2022-07-21,4754,750,157,173,165,320,246,773
2022-07-22,5430,769,154,206,176,697,209,840
2022-07-23,5948,749,135,216,163,720,323,850
2022-07-24,5509,773,189,222,166,720,315,830
2022-07-25,5225,599,149,164,147,555,123,766
2022-07-26,5225,681,144,198,144,574,288,773
2022-07-27,4686,480,140,182,135,434,252,805
2022-07-28,4897,683,152,195,116,422,280,814
2022-07-29,5834,727,177,209,156,720,331,940
2022-07-30,6010,751,167,203,159,720,241,919
2022-07-31,5351,717,169,229,155,617,261,932
2022-08-01,4016,580,178,179,125,320,249,790
2022-08-02,5644,677,139,182,130,611,176,705
2022-08-03,4686,568,149,146,96,323,228,739
